Full#,Short#,Sign,Key,Facet,Item
1,1,+N1,N1,Anxiety,Worry about things.
2,2,+E1,E1,Friendliness,Make friends easily.
3,3,+O1,O1,Imagination,Have a vivid imagination.
4,4,+A1,A1,Trust,Trust others.
5,5,+C1,C1,Self-Efficacy,Complete tasks successfully.
6,6,+N2,N2,Anger,Get angry easily.
7,7,+E2,E2,Gregariousness,Love large parties.
8,8,+O2,O2,Artistic Interests,Believe in the importance of art.
99,9,-A2,A2,Morality,Use others for my own ends.
40,10,+C2,C2,Orderliness,Like to tidy up.
11,11,+N3,N3,Depression,Often feel blue.
12,12,+E3,E3,Assertiveness,Take charge.
13,13,+O3,O3,Emotionality,Experience my emotions intensely.
74,14,+A3,A3,Altruism,Love to help others.
45,15,+C3,C3,Dutifulness,Keep my promises.
76,16,+N4,N4,Self-Consciousness,Find it difficult to approach others.
17,17,+E4,E4,Activity Level,Am always busy.
18,18,+O4,O4,Adventurousness,Prefer variety to routine.
169,19,-A4,A4,Cooperation,Love a good fight.
50,20,+C4,C4,Achievement-Striving,Work hard.
111,21,+N5,N5,Immoderation,Go on binges.
22,22,+E5,E5,Excitement-Seeking,Love excitement.
53,23,+O5,O5,Intellect,Love to read challenging material.
144,24,-A5,A5,Modesty,Believe that I am better than others.
55,25,+C5,C5,Self-Discipline,Am always prepared.
26,26,+N6,N6,Vulnerability,Panic easily.
27,27,+E6,E6,Cheerfulness,Radiate joy.
28,28,+O6,O6,Liberalism,Tend to vote for liberal political candidates.
29,29,+A6,A6,Sympathy,Sympathize with the homeless.
120,30,-C6,C6,Cautiousness,Jump into things without thinking.
31,31,+N1,N1,Anxiety,Fear for the worst.
62,32,+E1,E1,Friendliness,Feel comfortable around people.
33,33,+O1,O1,Imagination,Enjoy wild flights of fantasy.
34,34,+A1,A1,Trust,Believe that others have good intentions.
35,35,+C1,C1,Self-Efficacy,Excel in what I do.
36,36,+N2,N2,Anger,Get irritated easily.
37,37,+E2,E2,Gregariousness,Talk to a lot of different people at parties.
68,38,+O2,O2,Artistic Interests,See beauty in things that others might not notice.
